Date,Cases
3/1/2022,464.531
3/2/2022,661.379
3/3/2022,663.542
3/4/2022,684.043
3/5/2022,648.225
3/6/2022,613.371
3/7/2022,574.131
3/8/2022,726.215
3/9/2022,1014.977
3/10/2022,1038.544
3/11/2022,1089.204
3/12/2022,1044.454
3/13/2022,992.906
3/14/2022,919.552
3/15/2022,1121.896
3/16/2022,1478.826
3/17/2022,1388.083
3/18/2022,1359.109
3/19/2022,1227.289
3/20/2022,1115.186
3/21/2022,998.638
3/22/2022,1200.641
3/23/2022,1618.838
3/24/2022,1467.88
3/25/2022,1395.149
3/26/2022,1228.06
3/27/2022,1072.895
3/28/2022,910.339
3/29/2022,1012.251
3/30/2022,1375.477
3/31/2022,1186.895
4/1/2022,1090.863
4/2/2022,811.611
4/3/2022,703.048
4/4/2022,556.845
4/5/2022,624.791
4/6/2022,795.85
4/7/2022,727.326
4/8/2022,662.875
4/9/2022,573.391
4/10/2022,488.646
4/11/2022,413.056
4/12/2022,458.487
4/13/2022,553.571
4/14/2022,500.245
4/15/2022,469.345
4/16/2022,394.585
4/17/2022,320.195
4/18/2022,295.131
4/19/2022,298.39
4/20/2022,373.625
4/21/2022,381.757
4/22/2022,317.839
4/23/2022,273.505
4/24/2022,232.606
4/25/2022,195.678
4/26/2022,217.971
4/27/2022,253.418
4/28/2022,215.675
4/29/2022,193.382
4/30/2022,171.948
5/1/2022,148.306
5/2/2022,123.747
5/3/2022,133.819
5/4/2022,176.377
5/5/2022,197.278
5/6/2022,172.896
5/7/2022,151.402
5/8/2022,132.634
5/9/2022,111.348
5/10/2022,134.234
5/11/2022,158.527
5/12/2022,144.396
5/13/2022,129.242
5/14/2022,113.2
5/15/2022,102.831
5/16/2022,90.655
5/17/2022,118.103
5/18/2022,139.493
5/19/2022,122.739
5/20/2022,113.141
5/21/2022,101.024
5/22/2022,86.226
5/23/2022,74.346
5/24/2022,88.833
5/25/2022,108.326
5/26/2022,98.935
5/27/2022,93.217
5/28/2022,85.218
5/29/2022,80.123
5/30/2022,73.887
5/31/2022,84.137
6/1/2022,105.393
6/2/2022,105.068
6/3/2022,103.853
6/4/2022,91.973
6/5/2022,98.283
6/6/2022,110.978
6/7/2022,145.388
6/8/2022,174.007
6/9/2022,169.029
6/10/2022,174.555
6/11/2022,167.667
6/12/2022,159.742
6/13/2022,149.269
6/14/2022,188.02
6/15/2022,226.222
6/16/2022,224.281
6/17/2022,219.778
6/18/2022,210.713
6/19/2022,206.18
6/20/2022,201.796
6/21/2022,251.774
